No promotion please  11 RTO inspectors tell chief,Times of India,23 May 2013,http://timesofindia.indiatimes.com/city/mumbai/No-promotion-please-11-RTO-inspectors-tell-chief/articleshow/20236563.cms,"Citizens are aware that there is largescale corruption in the RTOs. The government should crack a whip on the corrupt elements and not allow them to thrive in ...
Of politicians and some verdicts,The Hindu,23 Jul 2013,http://www.thehindu.com/opinion/lead/of-politicians-and-some-verdicts/article4945970.ece,The slew of judgments from the higher judiciary in the period of just about a month or so has been like manna from heaven on the parched earth of electoral ...
Govt should take over FPS to check PDS corruption: SC panel,Economic Times,10 Jan 2013,http://articles.economictimes.indiatimes.com/2013-01-10/news/36258414_1_fps-food-grain-corrupt-officials,"It is a known fact that FPS is epicentre of corruption where FPS owner  transporter  corrupt officials and the politicians are hand in gloves to cheat the public " the ...
Goa's amended Lokayukta law stupid  says Arvind Kejriwal,Daily News & Analysis,8 Feb 2013,http://www.dnaindia.com/india/report-goa-s-amended-lokayukta-law-stupid-says-arvind-kejriwal-1797780,He also said that post-amendments  the public ombudsman would serve as a "puppet" of the incumbent government and not punish  but protect the corrupt.
CBI's law officer sentenced to 3 yrs jail in corruption case,Daily News & Analysis,12 Nov 2013,http://www.dnaindia.com/india/report-cbi-s-law-officer-sentenced-to-3-yrs-jail-in-corruption-case-1918075,The court said "there cannot be any doubt that CBI is burdened with herculean task of apprehending the corrupt officials and to bring them to the books and it ...
All you need to know about Bharat Ratna awardee CNR Rao,Firstpost,16 Nov 2013,http://www.firstpost.com/india/all-you-need-to-know-about-bharat-ratna-awardee-cnr-rao-1233625.html,The government has decided to confer the country's highest civilian honour to Indian chemist CNR Rao along with cricketer Sachin Tendulkar. While there is ...
Aussie media calls N Srinivasan cricket's most dangerous man,Daily News & Analysis,7 May 2013,http://www.dnaindia.com/sport/report-aussie-media-calls-n-srinivasan-cricket-s-most-dangerous-man-1831801,... Srinivasan as managing director of India Cements  which is alleged to have rorted scarce water resources with corrupt state officials to double production and ...
I Am Hurting Too,CounterCurrents.org,11 Feb 2013,http://www.countercurrents.org/hakim110213.htm,But Singapore is also responsible because it is one of the fifty U.S. /NATO ( the North Atlantic Treaty Organization ) coalition countries working with the corrupt ...
Sheila Dikshit's trump card: The voting power of unauthorised colonies,Firstpost,30 Jun 2013,http://www.firstpost.com/politics/sheila-dikshits-trump-card-the-voting-power-of-unauthorised-colonies-917777.html,Congress MLA Mukesh Sharma has an enviable record as a politician. At his office in Uttam Nagar  a constituency in West Delhi he has represented since 1993 ...
The NDTV Dialogues: The idea of justice - full transcript,NDTV,20 Oct 2013,http://www.ndtv.com/india-news/the-ndtv-dialogues-the-idea-of-justice-full-transcript-538361,Now obviously this has lead to great disquiet in a corrupt executive. Unfortunately in this country executives have successfully  over a period of years  become ...
