Police under BJP govt after cow meat instead of black money: CPI(M),Firstpost,28 Oct 2015,http://www.firstpost.com/politics/police-under-bjp-govt-after-cow-meat-instead-of-black-money-cpim-2486368.html,"Police raids not to unearth black money but to unearth imaginary cow meat  vah Modi! #KeralaHouse " CPI(M) politburo member Brinda Karat said in a tweet.
Black money Act may trip on 'immunity',Daily News & Analysis,20 May 2015,http://www.dnaindia.com/money/report-black-money-act-may-trip-on-immunity-2087675,Now that the foreign black money Bill is under way  will it ferret out Indian hoarders of illegal money abroad? Is the bait of compliance period  during which ...
Ahead of black money compliance  fear of prosecution under PMLA,Business Standard,23 Jun 2015,http://www.business-standard.com/article/economy-policy/ahead-of-black-money-compliance-fear-of-prosecution-under-pmla-115062301336_1.html,With only weeks left before the compliance window under the black money law to come into force  there are concerns that even a person paying taxes and ...
I-T department exposes donation scam worth hundreds of crores in ...,Daily News & Analysis,1 Nov 2015,http://www.dnaindia.com/india/report-i-t-exposes-donation-scam-worth-hundreds-of-crores-in-educational-trusts-2141048,The findings of the survey have been sent to the Special Investigation Team (SIT) on black money. "The total amount of the scam is not yet quantified " said an ...
I-T returns to track black money abroad,Business Standard,23 Mar 2015,http://www.business-standard.com/article/economy-policy/i-t-returns-to-track-black-money-abroad-115032400024_1.html,Once the Undisclosed Foreign Income and Assets (Imposition of Tax) Bill (black money Bill in popular parlance) is implemented  income tax assessees will not ...
After government sat on black money list for 5 years  HSBC probe ...,Daily News & Analysis,24 Jun 2015,http://www.dnaindia.com/money/report-after-government-sat-on-black-money-list-for-5-years-hsbc-probe-draws-a-blank-2098626,This follows the poor tax recovery from the black money list so far  of a meagre Rs 237 crore – a fraction of what was initially claimed by the government.
Govt to allow voluntary disclosure of black money?,indiatvnews.com (press release) (blog),28 Feb 2015,http://www.indiatvnews.com/business/india/govt-to-allow-voluntary-disclosure-of-black-money-17667.html,Finance Minister Arun Jaitely today said that his government is committed to bring back black money stashed away abroad and that a benami property ...
Black money: India seeks Swiss a/c details of ex-minister's kin,Zee News,14 Oct 2015,http://zeenews.india.com/business/news/economy/black-money-india-seeks-swiss-a/c-details-of-ex-ministers-kin_1810161.html,Berne/New Delhi: In the latest disclosure on suspected black money cases being probed by India  Switzerland Wednesday said it has received a request for ...
Black money: No compounding of cases falling under new Act,Daily News & Analysis,9 Sep 2015,http://www.dnaindia.com/money/report-black-money-no-compounding-of-cases-falling-under-new-act-says-cbdt-2123424,Cases of Indians holding funds stashed abroad and falling under the purview of the new anti-black money law will not have scope to enjoy the facility of ...
Problem of Black Money can Addressed by Rationalising Taxes ...,NDTV,5 Oct 2015,http://www.ndtv.com/india-news/problem-of-black-money-can-addressed-by-rationalising-taxes-1227825,New York: Finance Minister Arun Jaitley on monday said the problem of domestic black money can addressed by rationalising taxes and bringing more people ...
Black money may be govt's white knight,Financial Express,11 Sep 2015,http://www.financialexpress.com/economy/black-money-may-be-govts-white-knight/134510/,Black money may be govt's white knight. The Modi government could net a handsome Rs 20 000-25 000 crore in taxes and penalties under a special ...
Black money: IT Act in need of amendments for greater clarity on ...,Financial Express,15 Feb 2015,http://www.financialexpress.com/economy/black-money-i-t-act-in-need-of-amendments-for-greater-clarity-on-foreign-accounts/43354/,Black money: I-T Act in need of amendments for greater clarity on foreign accounts. If NRIs' assessments are re-opened for last 16 years  it will be very difficult to ...
Come clean on black money  there's room for a compliance window ...,Firstpost,6 Apr 2015,http://www.firstpost.com/business/come-clean-black-money-theres-room-compliance-window-jaitley-2186199.html,Finance Minister Arun Jaitley today promised a "reasonable compliance window" under the new black money law for persons with overseas funds to come clean ...
#SwissLeaks: Ambani Brothers  Naresh Goyal  Narayan Rane ...,India.com,9 Feb 2015,http://www.india.com/news/india/swissleaks-ambani-brothers-naresh-goyal-narayan-rane-among-others-in-fresh-list-of-black-money-account-holders-274785/,(Read: Black money: SIT to discuss new names; review old ones today). Prominent politicians including former Maharashtra chief minister Narayan Rane  his ...
Nipping it in the black,The Indian Express,14 Jul 2015,http://indianexpress.com/article/opinion/columns/nipping-it-in-the-black/,Successive governments have attempted to curtail the black money menace through policy action and moral suasion. But the recent slew of measures  including ...
How India has been illegally exporting money across borders,DailyO,10 Dec 2015,http://www.dailyo.in/business/black-money-hawala-import-export-tax-havens-china-russia-lehman-brothers-switzerland/story/1/7863.html,Illicit money is commonly referred to as black money. It is income generated through legal or illegal means and hidden from tax authorities. Many Indians are ...
Finance Ministry's 'compliance window' is an amnesty scheme for ...,Business Standard,22 Jun 2015,http://www.business-standard.com/article/opinion/finance-ministry-s-compliance-window-is-an-amnesty-scheme-for-black-money-hoarders-115062300151_1.html,In fact the only major difference between the black money compliance window and the service tax amnesty scheme is that the former has a penalty and the latter ...
Black and White,Business Today,24 Sep 2015,http://www.businesstoday.in/magazine/cover-story/black-money-trail-around-trusts-hawala-tax-havens-shell-companies/story/223900.html,Flight of black money in cash is an even more interesting story  especially  by those who amass loads of cash through illegal dealings from big-ticket deals or ...
Black money: Government looks for permanent solution,Oneindia,3 Jun 2015,http://www.oneindia.com/india/black-money-government-looks-for-permanent-solution-1767236.html,New Delhi  June 4: Taking into account the issue of black money is not a one time problem  the government  in fact  is planning on setting up a permanent body.
Arun Jaitley bats for automatic info exchange to tackle black money,The Indian Express,8 Oct 2015,http://indianexpress.com/article/india/india-others/arun-jaitley-bats-for-automatic-info-exchange-to-tackle-black-money/,Jaitley noted that India has been the beneficiary of these systems by getting vital information on tax evasion and emphasised the need for genuine and equitable ...
RBI: Keeping a 'close watch' over black money probe on HSBC,The Indian Express,26 Feb 2015,http://indianexpress.com/article/business/business-others/rbi-keeping-a-close-watch-over-black-money-probe-on-hsbc/,When asked whether the RBI would order a probe into HSBC's Indian operations  an RBI official said  “this is not in our domain.
