“Demonetisation cannot curb black money”,The Hindu,28 Nov 2016,http://www.thehindu.com/news/cities/Madurai/%E2%80%9CDemonetisation-cannot-curb-black-money%E2%80%9D/article16717973.ece,VCK president Thol. Thirumavalavan addressing a protest meeting against demonetisation organized by VCK and Communist parties at K. Pudur in Madurai on ...
Govt warns those trying to convert black money to white,Times of India,2 Dec 2016,http://timesofindia.indiatimes.com/business/india-business/Govt-warns-those-trying-to-convert-black-money-to-white/articleshow/55760836.cms,New Delhi: The government on Friday warned of tough action against those colluding with money laundering or converting black money into white and said they ...
Report on quantum of black money under examination: Finance ...,Economic Times,2 Jan 2016,http://economictimes.indiatimes.com/news/economy/policy/report-on-quantum-of-black-money-under-examination-finance-ministry/articleshow/50423608.cms,NEW DELHI: Reports on quantum of black money stashed in India and abroad are under examination of the government  about a year and a half after ...
No immunity for IPC offences under domestic black money window,The Indian Express,16 Apr 2016,http://indianexpress.com/article/business/banking-and-finance/no-immunity-for-ipc-offences-under-domestic-black-money-window/,Disclosures made under the four-month domestic black money compliance window beginning June 1 will not get immunity from criminal offences like corruption  ...
Black money: SIT holds high-level meet in Delhi,Economic Times,12 Jul 2016,http://economictimes.indiatimes.com/news/politics-and-nation/black-money-sit-holds-high-level-meet-in-delhi/articleshow/53180660.cms,NEW DELHI: The Special Investigation Team (SIT) on black money today held a meeting here and reviewed some high-profile tax evasion and money ...
Lot needs to be done by Finance Ministry on black money ...,The Indian Express,28 Apr 2016,http://indianexpress.com/article/india/india-news-india/lot-needs-to-be-done-by-finance-ministry-on-black-money-parliament-panel-2775072/,The Standing Committee on Finance suggested the "Ministry should give utmost priority to the implementation of Justice M B Shah's panel so that black money ...
Tell Clients To Come Clean On Black Money: Manohar Parrikar To ...,NDTV,1 Jul 2016,http://www.ndtv.com/india-news/tell-clients-to-come-clean-on-black-money-manohar-parrikar-to-cas-1427073,The Income Declaration Scheme  2016  which opened on June 1  allows domestic black money holders to declare undisclosed income and come clean.
ICIJ  HSBC lists: Income Tax department detects Rs 13000 crore ...,Daily News & Analysis,29 Jun 2016,http://www.dnaindia.com/money/report-icij-hsbc-lists-income-tax-department-detects-rs-13000-crore-black-money-2229444,The Income Tax department has claimed to have detected over Rs 13 000 crore black money after its investigations on global leaks about Indians holding stash ...
Demonetisation of currency notes won't tackle black money: Thomas ...,Mathrubhumi English,8 Nov 2016,http://english.mathrubhumi.com/news/kerala/demonetisation-of-currency-notes-won%E2%80%99t-tackle-black-money-thomas-isaac-finance-minister-rs-500-rs-1000-kerala-government-1.1490576,Reacting to the decision  Finance Minister T M Thomas Isaac said demonetisation of Rs 1 000 and Rs 500 currency notes was not a solution to the black money ...
How Narendra Modi stole Manmohan Singh's thunder,Economic Times,14 Nov 2016,http://economictimes.indiatimes.com/news/economy/policy/how-narendra-modi-stole-manmohan-singhs-thunder/articleshow/55415863.cms,If only it had gone through  the nearly Rs. 10 lakh crores of suspected black money may not be in circulation in the first place for Modi to attack. Because all the ...
