Graft-ridden govt opens campaign against 'black money',Reuters India,25 Jan 2011,http://in.reuters.com/article/idINIndia-54389420110125,India is the world's ninth most corrupt country  with 54 percent of the population paying a bribe in the last 12 months  according to a report by Transparency ...
ANALYSIS - Egypt's military sketches path to transition,Reuters India,13 Feb 2011,http://in.reuters.com/article/idINIndia-54871720110214,But uncertainty remains over how much influence the military will seek to exert in reshaping a corrupt and oppressive ruling system which it has propped up for ...
Bollywood stars cast spell over Toronto,Reuters India,24 Jun 2011,http://in.reuters.com/article/idINIndia-57910020110624,Bollywood actor Shahrukh Khan arrives at the Royal York Hotel in Toronto June 24  2011. The International Indian Film Academy (IIFA) Awards will be held in ...
Army gets two new Lt Cols in Dhoni and Bindra,Firstpost,1 Nov 2011,http://www.firstpost.com/sports/army-gets-two-new-lt-cols-in-dhoni-and-bindra-121037.html,New Delhi: Army Chief General VK Singh today conferred the rank of Lieutenant Colonel in the Territorial Army upon Indian Captain Mahendra Singh Dhoni and ...
Govt working to make private sector bribery a crime: PM,Firstpost,21 Oct 2011,http://www.firstpost.com/india/govt-working-to-make-private-sector-bribery-a-crime-pm-113566.html,There will always be some instances of corrupt practices in the work of public authorities." He urged the CBI that people induldging in corruption must realise that ...
Many will be in trouble if Amar Singh sings: Jaya Prada,Times of India,8 Sep 2011,http://timesofindia.indiatimes.com/india/Many-will-be-in-trouble-if-Amar-Singh-sings-Jaya-Prada/articleshow/9916868.cms,NEW DELHI: Cine star Jaya Prada on Thursday warned that many people would be in trouble if Amar Singh opened his mouth  slamming "beneficiaries" who ...
Police charge Ai Weiwei with porn  fans strip in support,Firstpost,22 Nov 2011,http://www.firstpost.com/world/police-charge-ai-weiwei-with-porn-fans-strip-in-support-137990.html,Our nation today is so corrupt  with so much sex  but they think nudity photos on the Internet is pornography " he said. Ai's problems with the authorities started ...
ANALYSIS - White House prepares initial Afghan drawdown,Reuters India,1 Jun 2011,http://in.reuters.com/article/idINIndia-57446020110602,Afghan children approach Sgt. Ryan Pettit  from 8th Marine Regiment  U.S. Marines  during a foot patrol in the center of Garmsir district in Helmand province ...
Pak court seeks asset details of Zardari  Gilani  Sharif,Indian Express,11 Oct 2011,http://archive.indianexpress.com/news/pak-court-seeks-asset-details-of-zardari-gilani-sharif/858873/,Jaffrey said due to corrupt practices and misconduct of most of the respondents  Pakistan had become the "laughing stock of the civilized world and practically a ...
Verdict on general power of attorney seen hitting property sales,Times of India,13 Oct 2011,http://timesofindia.indiatimes.com/india/Verdict-on-general-power-of-attorney-seen-hitting-property-sales/articleshow/10346154.cms,NEW DELHI: Experts analyzing Tuesday's Supreme Court order barring the sale of properties through general power of attorney (GPA) and sale agreements ...
US pressure fuels anti-Americanism in Pakistan,Reuters India,27 Sep 2011,http://in.reuters.com/article/idINIndia-59551720110926,Amina Ansari  who works in the energy sector in Pakistan's biggest city Karachi  says Pakistan's "corrupt leaders have already been bought out"  and the United ...
Mahesh Manjrekar gets chic look for READY!,GlamSham,17 Mar 2011,http://www.glamsham.com/movies/news/11/mar/17-mahesh-manjrekar-gets-chic-look-for-ready-031106.asp,After playing characters like a local don (SLUMDOG MILLIONAIRE)  a corrupt cop (WANTED) and a 'serous alcoholic' (DABANGG)  Mahesh Manjrekar will next ...
Ever Suffering Dalits,CounterCurrents.org,1 Nov 2011,http://www.countercurrents.org/balley011111.htm,It has also been observed that some unscrupulous Dalits in connivance with the corrupt officials of the government are also involved in looting the welfare funds ...
How Iran saved India – in 1994,Milli Gazette,19 Jan 2011,http://www.milligazette.com/news/333-how-iran-saved-india-in-1994-kashmir-UN-voting,But in BJP goverment all minister is grudge and corrupt people. Kaipulla • 1 year ago. India is always thankful to iran and will revert its thankfulness appropriately ...
5 designs selected for world class museum in Patna,Times of India,30 Nov 2011,http://timesofindia.indiatimes.com/city/patna/5-designs-selected-for-world-class-museum-in-Patna/articleshow/10940730.cms,PATNA: Five architectural designs for the proposed international museum have been selected of which one will be finalized. The museum will come up on the ...
Military rulers dissolve Egypt's parliament,Reuters India,13 Feb 2011,http://in.reuters.com/article/idINIndia-54856720110213,Egyptian Prime Minister Ahmed Shafik speaks during a news conference in Cairo February 13  2011. Egypt's new military rulers said on Sunday they had ...
Kalavati's daughter committed suicide a month ago,Times of India,17 Oct 2011,http://timesofindia.indiatimes.com/city/nagpur/Kalavatis-daughter-committed-suicide-a-month-ago/articleshow/10395461.cms,NAGPUR: Suicides continue to dog Kalavati Bandurkar's family. The widow from Jalka  a nondescript village in Yavatmal  shot to fame after Congress scion ...
Obama's hasty Afghanistan withdrawal risks squandering gains,Reuters India (blog),22 Jun 2011,http://blogs.reuters.com/india-expertzone/2011/06/23/obamas-hasty-afghanistan-withdrawal-risks-squandering-gains/,U.S. military commanders on the ground in Afghanistan had reportedly requested a slower pace of withdrawal to afford them the opportunity to consolidate ...
