Rajmata Gayatri Devi leaves behind bitter property feud,Times of India,5 Aug 2009,http://timesofindia.indiatimes.com/india/Rajmata-Gayatri-Devi-leaves-behind-bitter-property-feud/articleshow/4861235.cms,JAIPUR: Divided stand the erstwhile Jaipur royals. Barely a week after the passing away of Rajmata Gayatri Devi  Royalty Jaipur is heading for an ugly ...
Global Democracy: Consolidation and Expansion,Mainstream,1 Apr 2009,https://www.mainstreamweekly.net/article1259.html,The present-day globe is run on violence and corruption—overt as well as covert. Modern nations  big and small  have built huge arsenals to perpetrate violence ...
Orissa Mining Scam: Vigilance sleuths arrest eight officials,odishatoday.com,12 Aug 2009,http://www.odishatoday.com/orissa_2/Orissa_Mining_Scam_120809-98576764653435434.html,In its report  the vigilance pointed out that there was huge corruption in the mining sector. The report revealed that the mines mafias were working hand-in-glove ...
The Preacher From Plains And The Grand Ayatollah from Najaf,CounterCurrents.org,12 Jun 2009,http://www.countercurrents.org/lamb120609.htm,... monitored and generally speaking was one of the best when analyzed based on CC criteria as transparent  as well as largely corruption and violence free.
Guru's Dakshina,Outlook,27 Nov 2009,http://www.outlookindia.com/magazine/story/gurus-dakshina/262997,It was a disheartening beginning. When Avnish Bajaj relocated to India to start internet auction portal baazee.com in 2000  he couldn't find office space. No one ...
Rahul Gandhi and Aishwarya Rai awarded as Youth Icons...,India PRwire (press release),28 Sep 2009,http://www.indiaprwire.com/pressrelease/other/2009092634616.htm,Apart from these awards certain others were recognised for their crusade against corruption in the system. These were Late Jayram  Late Sh. Kameshwar Yadav ...
Seeking scandals – on the sly,domain-B,28 Mar 2009,http://www.domain-b.com/aero/20090328_seeking_scandals.html,Reports casting doubts over the validity of defence deals struck in the near past by the UPA government may only be the first shots fired in the gradually heating ...
Girls Go Ga ga at Gargi,Times of India,24 Nov 2009,http://timesofindia.indiatimes.com/entertainment/events/delhi/Girls-Go-Ga-ga-at-Gargi/articleshow/5264610.cms,Most of the students were very conscious about their social responsibilities  and brought to fore issues like corruption and female foeticide through the street ...
19-yr-old girl found dead in Avadi,Times of India,1 Jul 2009,http://timesofindia.indiatimes.com/city/chennai/19-yr-old-girl-found-dead-in-Avadi/articleshow/4726358.cms,CHENNAI: A 19-year-old girl's body was found near the bus stand of the Heavy Vehicles Factory (HVF) in Avadi on Tuesday. It is suspected that the girl was ...
Miracle drug adds muscle to hill economy,Chandigarh Tribune,3 Jul 2009,http://www.tribuneindia.com/2009/20090704/dplus.htm,From April onwards and up to June-end  villagers from the Johar and Darma valleys of the Munsiyari-Dharchula subdivisions of Pitthoragarh proceed towards ...
Land acquisition: How it fuels the Naxal movement,Rediff,17 Nov 2009,http://www.rediff.com/money/slide-show/slide-show-1-how-land-acquisition-fuels-the-naxal-movement/20091117.htm,In June this year  Naxalites  as Communist extremists are called in the country  pumped several bullets into Vimal Meshram  the 42-year-old head of the ...
Baby In The Drive,Outlook,6 Nov 2009,http://www.outlookindia.com/magazine/story/baby-in-the-drive/262754,To the long list of single  ambitious women in our politics  add another name  Shobha Karandlaje. The panchayati raj and rural development minister in B.S. ...
Turnout of NRI students at Anna Univ declines,Times of India,1 Jul 2009,http://timesofindia.indiatimes.com/city/chennai/Turnout-of-NRI-students-at-Anna-Univ-declines/articleshow/4726357.cms,CHENNAI: The number of Non-Resident Indian (NRI) students seeking admission in undergraduate engineering degree courses in the premier Anna University ...
My India is shining and so it will,domain-B,27 Feb 2009,http://www.domain-b.com/goodlife/read/20090227_shobhaa_de.html,Some of the issues that the book deals with include: globalisation  poverty  corruption  traditions and changes  love  gender constructs  sex and what it is and ...
Fashion overdose: Do we need so many expensive clothes?,Reuters India (blog),22 Sep 2009,http://blogs.reuters.com/indiamasala/2009/09/22/fashion-overdose-do-we-need-so-many-expensive-clothes/,Whenever I have attended the Lakme Fashion Week in Mumbai  it has always struck me as an event that is a little out of my league  but something that always ...
Girls charmed by ECE  CSE; Boys prefer Mechanical Engg,Times of India,16 Jul 2009,http://timesofindia.indiatimes.com/city/chennai/Girls-charmed-by-ECE-CSE-Boys-prefer-Mechanical-Engg/articleshow/4787035.cms,CHENNAI: Gender seems to be heavily influencing the course-choice of aspirants in the ongoing single window counselling for Tamil Nadu Engineering ...
Fight to the finish,India Today,18 Aug 2009,http://indiatoday.intoday.in/story/Fight+to+the+finish/1/48621.html,... ended on June 22  the day the state"s Advocate General (AG) R.N. Singh  resigned from his post  alleging harassment by the anti-corruption ombudsman.
Three architects shortlisted for stadium project,Times of India,15 May 2009,http://timesofindia.indiatimes.com/city/thane/Three-architects-shortlisted-for-stadium-project/articleshow/4537418.cms,MUMBRA: The civic Public Works Department (PWD) has taken the first concrete in getting the stadium project underway. The department has sought bids from ...
Treating the PM: A Public Health Initiative,Reuters India (blog),27 Jan 2009,http://blogs.reuters.com/india/2009/01/27/treating-the-pm-a-public-health-initiative/,It's been four days since Manmohan Singh underwent coronary bypass surgery. The prime minister is said to be making “rapid progress” and is well on his way ...
America's War With Muslim Nations,CounterCurrents.org,30 Jun 2009,http://www.countercurrents.org/hassan300609.htm,In addition to the destruction of Iraq's health services and the education system  the U.S. brought into Iraq a culture of corruption and violence unheard of in Iraq's ...
Why Lankan war hero Fonseka and Rajapaksa broke up,Rediff,13 Nov 2009,http://news.rediff.com/special/2009/nov/13/why-lankan-war-hero-fonseka-and-rajapaksa-broke-up.htm,The economic hardships faced by the people have increased while waste and corruption have reached endemic proportions; media freedom and other ...
Sharad Pawar | Kingmaker but not king?,Livemint,22 Apr 2009,http://www.livemint.com/Politics/VH9DxL5L1malfzl8Xza2dO/Sharad-Pawar--Kingmaker-but-not-king.html,Then  the then deputy commissioner of Brihanmumbai municipal corporation  G.R. Khairnar  accused him of corruption and shielding criminals. Khairnar could ...
A Few Who Copped Out,Outlook,4 Dec 2009,http://www.outlookindia.com/magazine/story/a-few-who-copped-out/263175,Since Aug 2006  there were six intelligence alerts about a seaborne attack  11 on the possibility of multiple and simultaneous attacks  and three on the possibility ...
Full text of BJP manifesto,Times of India,3 Apr 2009,http://timesofindia.indiatimes.com/india/Full-text-of-BJP-manifesto/articleshow/4358163.cms,And  it has shielded corruption at high places by misusing agencies of the state  namely the CBI. The Congress has tried to whitewash its terrible record on the ...
Don't fake it,HardNews Magazine,1 Sep 2009,http://www.hardnewsmedia.com/2009/09/3188,Some of these specialists have reportedly amassed huge wealth with several cases of corruption and nexus with criminals. Security forces enjoy enormous ...
Wanted  Nano-like solutions for Indian farming!,Hindu Business Line,6 Apr 2009,http://www.thehindubusinessline.com/todays-paper/tp-opinion/wanted-nanolike-solutions-for-indian-farming/article1048674.ece,He concedes that the government has come out with many welfare schemes for the farm sector “but the problem is in delivery and the corruption involved at ...
Ramachandra Guha finds ten reasons that are holding India back,Deccan Herald,14 Jul 2009,http://www.deccanherald.com/content/13669/ramachandra-guha-finds-ten-reasons.html,What's holding India back? What stops India from becoming a 21st century superpower? There are ten reasons  according to author-historian  social analyst and ...
'Might Is Not Always Right',Outlook,19 Sep 2009,http://www.outlookindia.com/magazine/story/might-is-not-always-right/261818,Let us first go back a few steps. The negotiations broke down in July 2008 but at the negotiator level talks continued till November 2008 and then they essentially ...
SL hit The Wall,Chandigarh Tribune,16 Nov 2009,http://www.tribuneindia.com/2009/20091117/sports.htm,Rahul Dravid and captain Mahendra Singh Dhoni cracked sparkling centuries as India staged a remarkable recovery after a dramatic top-order collapse on the ...
Vertical Aspirations,Construction Week Online India,24 Jun 2009,http://www.constructionweekonline.in/vertical-aspirations/,“Nobody is clear about the procedures. High levels of corruption and red tapism further hinder the development of high-rise projects. There is a need for clarity in ...
Payel's back to the grill,Times of India,2 Jan 2009,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/Payels-back-to-the-grill/articleshow/3927233.cms,Interem · 10 people most affected by Modi's anti-corruption campaignCRITICSUNION ... Vladimir Putin is 'picture of corruption': US Treasury official · Apple set for ...
Mangalore: Students Must Fight Social Evils—Kum Veerabadrappa,Daijiworld.com,29 Aug 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=64834,Mangalore  Aug 29: Kum Veerabadrappa  Kendra Sahitya Academy award winning writer  called upon students to fight against the caste system and ...
Regressive move?,Times of India,18 Aug 2009,http://timesofindia.indiatimes.com/city/bengaluru/Regressive-move/articleshow/4908180.cms,BANGALORE: Is a new internet policy  to be implemented soon by the IISc  restrictive? It may appear so to users  but the institute says the move to come out with ...
NCP MP Padamsinh Patil Charged with Murder of Congress Leader,Daijiworld.com,7 Jun 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=60883,... disclosure of receiving a Rs.2.50 million contract to eliminate renowned social worker and anti-corruption crusader Anna Hazare  a Magsaysay award winner.
Lara denies wedding with Dino,Times of India,1 Feb 2009,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/Lara-denies-wedding-with-Dino/articleshow/4059753.cms,10 people most affected by Modi's anti-corruption campaignCRITICSUNION ... Vladimir Putin is 'picture of corruption': US Treasury official · Apple set for slowest ...
Are frequent elections a waste of time and money?,Reuters India (blog),6 Mar 2009,http://blogs.reuters.com/india/2009/03/06/are-frequent-elections-a-waste-of-time-and-money/,This could mean weeks or even months of political uncertainty as parties negotiate for power. Of the past six prime ministers  only three could complete their term ...
Mangalore: Additional SP R Dileep Turns Musician  Wows Audience,Daijiworld.com,26 Jul 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=63203,Mangalore  Jul 27: R Dileep  additional superintendent of police  a familiar figure in his uniform  put forth a lesser-known facet of himself—that of a Mridangam ...
It's time to bite the ballot,Livemint,3 Apr 2009,http://www.livemint.com/Leisure/BDmsUhuDhqWxfCLTMf0OsO/It8217s-time-to-bite-the-ballot.html,For you what is the biggest challenge that our political system faces today—candidates educated people cannot identify with  corruption  lack of agenda  or the ...
CPI Manifesto,Times of India,21 Mar 2009,http://timesofindia.indiatimes.com/india/CPI-Manifesto/articleshow/4296168.cms,Implementation is mired in corruption. Promise to raise .... End corruption and malpractice in implementation of NREGA and other schemes. Recommended By ...
5 Vadodara girls selected for national basketball tourney,Times of India,2 May 2009,http://timesofindia.indiatimes.com/city/vadodara/5-Vadodara-girls-selected-for-national-basketball-tourney/articleshow/4476635.cms,VADODARA: Five girls of Vadodara basketball team have made it to the state team that is being sent to Youth National Basketball Championships 2009 being ...
Bangalore: Kenyan Lady Held with Heroin,Daijiworld.com,9 Mar 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=57613,Bangalore  Mar 9: Susan Njoki  (31)  a Kenyan national  was caught with 1.5 kg of heroin while trying to fly to Shanghai in Thai Airways (TG 326) from Bangalore ...
Railways' vulnerable gangmen,Livemint,30 Dec 2009,http://www.livemint.com/Politics/p5JjFgtzbkcY3uVk5mmvjL/Railways8217-vulnerable-gangmen.html,Sidhu said he was removed on corruption charges. Meanwhile  gangman Ram Balbir Singh  whose brother Ram Ratan was killed in the 7 November accident  ...
The 5 best advertising campaigns of 2009,Rediff,31 Dec 2009,http://www.rediff.com/money/slide-show/slide-show-1-best-advertising-campaigns-of-2009/20091231.htm,A slowdown makes everybody demand more bang for the buck. Stuck with smaller budgets  companies demanded better campaigns from agencies in 2009.
Abhiash not moving out,Times of India,11 May 2009,http://timesofindia.indiatimes.com/entertainment/hindi/bollywood/news/Abhiash-not-moving-out-of-Jalsa/articleshow/4509483.cms,Who said that Aishwarya and Abhishek Bachchan are moving out of the family home Jalsa in Juhu and moving into their own home Naivedya  in Bandra?
Blockbuster KRANTIVEER's sequel launched,GlamSham,28 Mar 2009,http://www.glamsham.com/movies/news/09/mar/28-blockbuster-krantiveers-sequel-launched-030910.asp,Taking the story forward  Jahan plays a fiery journalist who is set to lead the revolution against terrorism  violence and corruption. Joining her in this battle is ...
Jail: Avoid this three-hour sentence,Reuters India (blog),6 Nov 2009,http://blogs.reuters.com/indiamasala/2009/11/06/jail-avoid-this-three-hour-sentence/,In this case  he attempts to depict India's justice and prison system  the corruption that prevails and the thousands who are trapped within. Neil Nitin Mukesh ...
CBI arrests MD of software company for piracy,Times of India,25 Dec 2009,http://timesofindia.indiatimes.com/city/delhi/CBI-arrests-MD-of-software-company-for-piracy/articleshow/5379414.cms,NEW DELHI: The CBI on Friday arrested the managing director of a software firm for allegedly carrying out piracy of Microsoft products. The accused  Kamlesh ...
Mangalore: AICUF Working to Empower Marginalized Students - Fr ...,Daijiworld.com,9 Aug 2009,http://www.daijiworld.com/news/news_disp.asp?n_id=63876,... a clarion call to the youth to fight against injustice and corruption. Manoj Louis the state animator in his address appealed to the students to be more creative  ...
Paswan lays foundation stone of SAIL plant,Chandigarh Tribune,21 Feb 2009,http://www.tribuneindia.com/2009/20090222/himachal.htm,On the other hand  BJP state president Jai Ram Thakur said the BJP had always made corruption an issue as proved by the court verdict. “Sukh Ram has always ...
