IPS Jacob Thomas lashes out: Those fighting graft labelled lunatics,The Indian Express,9 Dec 2015,http://indianexpress.com/article/india/india-news-india/ips-jacob-thomas-lashes-out-those-fighting-graft-labelled-lunatics/,IPS Jacob Thomas lashes out: Those fighting graft labelled lunatics. Thomas was recently shunted out as the chief of the state's fire and rescue services ...
Congress alleges graft in rural projects,The Indian Express,13 May 2015,http://indianexpress.com/article/cities/lucknow/congress-alleges-graft-in-rural-projects/,Days ahead of Rahul Gandhi's visit to his constituency Amethi  the district unit of Congress has written a letter to district magistrate alleging corruption and ...
New FDA chief suspends official caught for graft on day one,Business Standard,21 Jan 2015,http://www.business-standard.com/article/pti-stories/new-fda-chief-suspends-official-caught-for-graft-on-day-one-115012101230_1.html,Senior IAS official Harshdeep Kamble  who took over as Maharashtra's Food and Drug Administration (FDA) Commissioner today  suspended an official for ...
CBI books JD(U) MLA Anant Singh in graft case,The Indian Express,1 Aug 2015,http://indianexpress.com/article/india/india-others/cbi-books-jdu-mla-anant-singh-in-graft-case/,CBI books JD(U) MLA Anant Singh in graft case. According to the CBI  following allegations of large-scale irregularities in award of contracts at the NTPC plant at ...
MP lokayukta Naolekar criticised for 'expunging' ministers' names ...,Hindustan Times,27 Jun 2015,http://www.hindustantimes.com/bhopal/mp-lokayukta-naolekar-criticised-for-expunging-ministers-names-from-graft-cases/story-cfQJVjuImw33cVeEGjh5LK.html,MP lokayukta Naolekar criticised for 'expunging' ministers' names from graft cases. bhopal Updated: Jun 27  2015 22:33 IST. Ashutosh Shukla Hindustan Times.
Delhi Government Overrules Anti-Graft Chief  Says Helpline Number ...,NDTV,23 Jul 2015,http://www.ndtv.com/delhi-news/delhi-government-overrules-anti-graft-chief-says-lifeline-number-1031-stands-784598,New Delhi: The Arvind Kejriwal led Delhi government today overruled an announcement made by Anti-Corruption Bureau (ACB) chief MK Meena about a new ...
4100 graft cases and counting  but Maharashtra government doesn't ...,Daily News & Analysis,21 May 2015,http://www.dnaindia.com/india/report-4100-graft-cases-and-counting-but-maharashtra-government-doesn-t-want-lokayukta-2088011,The Lokpal movement launched by Anna Hazare in 2011-12 might have catapulted Aam Admi Party and Arvind Kejriwal to power in the capital state of Delhi  ...
EDMC JE to face trial in graft case,The Hindu,20 Jul 2015,http://www.thehindu.com/news/cities/Delhi/edmc-je-to-face-trial-in-graft-case/article7445572.ece,A Delhi court has framed charges of criminal conspiracy and demanding and accepting a bribe of Rs.60 000 against a Junior Engineer and a 'beldar' (earth ...
After Chhagan Bhujbal  more Opp leaders set to face graft probe,The Indian Express,17 Jun 2015,http://indianexpress.com/article/cities/mumbai/after-chhagan-bhujbal-more-opp-leaders-set-to-face-graft-probe/,After Chhagan Bhujbal  more Opp leaders set to face graft probe. “The ACB's preliminary investigations suggest that the stay was questionable ” a senior state ...
Bribery case: Graft charges framed against Narayan Sai,The Indian Express,9 Jun 2015,http://indianexpress.com/article/cities/ahmedabad/bribery-case-graft-charges-framed-against-narayan-sai/,The Surat district court on Tuesday framed charges against Narayan Sai — son of self-styled godman Asaram — and 10 others in connection with a case of an ...
Graft overshadows IFFK this time,Deccan Chronicle,2 Nov 2015,http://www.deccanchronicle.com/151103/nation-current-affairs/article/graft-overshadows-iffk-time,THIRUVANANTHAPURAM: The 20th International Film Festival of Kerala (IFFK) has landed in a soup with the arrest of Melwyn Williams Chirayath  sponsorship ...
Graft slur on Kamakhya board,Calcutta Telegraph,22 Jun 2015,http://www.telegraphindia.com/1150623/jsp/northeast/story_27238.jsp,Guwahati  June 22: Gauhati High Court today directed the Kamakhya Debutter Board to respond to the allegation of misappropriation of funds between 2012 ...
Louis Berger graft case: Bribe was paid  says Goa Police,Deccan Chronicle,22 Jul 2015,http://www.deccanchronicle.com/150722/nation-current-affairs/article/louis-berger-graft-case-bribe-was-paid-says-goa-police,Panaji: Goa Police Wednesday said prima facie it has come to light that "bribe was paid" by a US firm for a water developmental project in the state.
Chinese fugitive Huang Yurong returns from US amid crackdown,Economic Times,4 Dec 2015,http://economictimes.indiatimes.com/news/international/world-news/chinese-fugitive-huang-yurong-returns-from-us-amid-crackdown/articleshow/50052691.cms,The ruling Communist Party's anti-graft body says on its website that Huang Yurong had turned herself in on Saturday at Beijing's Capital Airport. Photos on the ...
Modi moves to protect babus  graft probes need lokpal nod,Hindustan Times,29 Apr 2015,http://www.hindustantimes.com/india/modi-moves-to-protect-babus-graft-probes-need-lokpal-nod/story-gxYXKO6ETx49gkIpHlsfYI.html,The Narendra Modi-led cabinet on Wednesday decided to bar all anti-graft agencies from probing any public servant on bribery charges without the lokpal or ...
Kejriwal to appoint AIIMS whistleblower as anti-graft cell chief,India Today,12 Feb 2015,http://indiatoday.intoday.in/story/arvind-kejriwal-aiims-whisteblower-sanjiv-chaturvedi-anti-graft-cell-chief/1/418634.html,In November last year  more than 200 faculty members  researchers and scientists of the premier medical institute had written to Prime Minister Narendra Modi  ...
CM's toll-free number flooded with calls against graft,The Hindu,27 Jan 2015,http://www.thehindu.com/news/cities/Hyderabad/cms-tollfree-number-flooded-with-calls-against-graft/article6828630.ece,The toll-free number operational in 104 Seva Kendrams here is flooded with calls about corruption and the complaints are not just against government ...
'There is evidence against Upalokayukta in graft case',Deccan Chronicle,29 Nov 2015,http://www.deccanchronicle.com/151130/nation-current-affairs/article/%E2%80%98there-evidence-against-upalokayukta-graft-case%E2%80%99,Last week  Congress MLC V.S. Ugrappa hit the headlines. Backed by the Congress Legislature Party  he came up with a masterstroke by proposing the idea of ...
ACB has jurisdiction to arrest cops: HC,The Hindu,25 May 2015,http://www.thehindu.com/news/cities/Delhi/anticorruption-bureau-has-jurisdiction-to-arrest-cops-rules-delhi-high-court/article7244338.ece,The Delhi High Court on Monday said that the Anti-Corruption Branch (ACB) has the jurisdiction to arrest police personnel – while denying bail to Delhi Police ...
Collegium works  no IB graft report on any judge: Ex-justice,The Indian Express,15 Mar 2015,http://indianexpress.com/article/india/india-others/collegium-works-no-ib-graft-report-on-any-judge-ex-justice/,Justice Mukhopadhaya said his experience of the collegium system of appointing judges was that it worked 'efficiently' and 'satisfactorily'.
