Ideal Road Builders has pocketed nearly Rs1 200 crore from Pune ...,Moneylife Personal Finance site and magazine,23 Nov 2011,http://www.moneylife.in/article/ideal-road-builders-has-pocketed-nearly-rs1200-crore-from-pune-mumbai-expressway-but-what-about-accident-prevention/21636.html,Moneylife invoked the RTI Act last fortnight to find out that Ideal Road Builders has collected about Rs1 200 crore until June 2011 since it took up the 15-year ...
Witch-hunt in times of a purge. How Sahara is hounding an ED officer,Tehelka,29 Jul 2011,http://www.tehelka.com/story_main50.asp?filename=Ne060811Witch.asp,“We are prima facie satisfied that an attempt has been made to interfere with the investigation being conducted by Shri Rajeshwar Singh in 2G scam and related ...
The Great Indian IPO Rip-Off,Seasonal Magazine,19 May 2011,http://www.seasonalmagazine.com/2011/05/great-indian-ipo-rip-off.html,It is a scam  bigger than 2G  in the waiting. And the tool of oversubscription hype  nowadays  has an ancillary tool - retailers can bid for one more day. And there ...
Member assaulted  ZP vice-president held,Indian Express,30 Jul 2011,http://archive.indianexpress.com/news/member-assaulted-zp-vicepresident--held/824834/,... been receiving threat calls from Gire for about a month warning her to stop following up on an alleged scam in transfer of teachers in ZP schools in the district.
NAPM says builder mafia behind arrest of RTI activist Kamlakar ...,Moneylife Personal Finance site and magazine,18 Jul 2011,http://www.moneylife.in/article/napm-says-builder-mafia-behind-arrest-of-rti-activist-kamlakar-shenoy/18189.html,NAPM says Shivalik Ventures  a construction company  is behind Mr Shenoy's arrest  as he had blown the lid off the Golibar land scam in which the company is ...
Adarsh commission seniors earn only one third of gov't lawyers on ...,Legally India,29 Jun 2011,http://www.legallyindia.com/201106292186/Bar-Bench-Litigation/adarsh-commission-seniors-earn-only-one-third-of-govt-lawyers-on-rs-115-lakh-a-day,The Adarsh inquiry commission set up by the state government to probe into the multi-crore housing scam has sought a salary hike for its lawyers as government ...
2G case: Attorney General  CBI head may go before PAC tomorrow,Hindu Business Line,14 Apr 2011,http://www.thehindubusinessline.com/economy/2g-case-attorney-general-cbi-head-may-go-before-pac-tomorrow/article1696304.ece,The Attorney General has been made a witness by CBI in its chargesheet filed before the special court in the 2G scam. The CBI director has been asked to ...
In country's highest defamation suit  news channel ordered to pay ...,NDTV,14 Nov 2011,http://www.ndtv.com/india-news/in-countrys-highest-defamation-suit-news-channel-ordered-to-pay-rs-100-crore-570114,The channel had  in 2008  erroneously run Justice (retd) P B Sawant's picture instead of another judge in connection with the Provident Fund scam. The image ...
Thomas no longer CVC: Supreme Court,NDTV.com,3 Mar 2011,http://www.ndtv.com/india-news/thomas-no-longer-cvc-supreme-court-448920,Leading that list is the 2G spectrum scam which pushed A Raja from the Telecom Minister's office into jail. Mr Raja stands accused of abusing his position and ...
Shedding the khaki uniform for the black gown  all to take on ...,The Weekend Leader,11 Mar 2011,http://www.theweekendleader.com/Heroism/418/corruption-combat.html,It was in CBI he investigated some high profile cases like the Rs 750 crore MS Shoes scam  Panna-Mukta oilfield case and US-64 scam. Instead of being hailed ...
